答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
160,E_307_61f7e24033f0c4d2441c7518_2IDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,初音未来|洛天依|柳叶熙,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌|线上/线下 演唱会,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:37.0|相关产品的丰富度:38.0|付费价格:8.0|其他:17.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:34:18,2022-02-04 10:37:47,03分29秒,江苏省,连云港市,112.3.141.15,Chrome 68.0.3440.91,Android Linux 9
161,E_307_5cdf9e77c461313612e7a380_2IDNxETM,30-45 岁,男,本科,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:49.0|相关产品的丰富度:24.0|付费价格:27.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:35:09,2022-02-04 10:37:56,02分47秒,安徽省,合肥市,223.104.34.22,Chrome 83.0.4103.106,Android Linux 10
162,E_307_54f488c6c1a87d7c3db1dce3_2IDNxETM,30-45 岁,男,本科,10000-15000 元,东北地区（包括黑龙江、吉林、辽宁）,政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,直播打赏|漫画等周边|线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:35:30,2022-02-04 10:38:01,02分31秒,,,39.144.100.185,Chrome 83.0.4103.101,Android Linux 10
163,E_307_5d6073a5c461310d7f494b81_2IDNxETM,30-45 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,直播打赏|线上/线下 演唱会,线上/线下 演唱会,虚拟偶像种类:42.0|相关产品的丰富度:58.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:35:06,2022-02-04 10:38:07,03分01秒,安徽省,合肥市,223.104.34.43,Chrome 88.0.4324.93,Android Linux 10
164,E_307_616a9e241b2425db3c23d321_2IDNxETM,30-45 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200 元以下,每月 50 元以下,漫画等周边,直播打赏,虚拟偶像种类:40.0|相关产品的丰富度:38.0|付费价格:10.0|其他:12.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:35:37,2022-02-04 10:38:10,02分33秒,黑龙江省,哈尔滨市,117.136.7.251,Chrome 80.0.3987.99,Android Linux 10
165,E_307_61f1a15333f0c4d2410e98f3_2IDNxETM,19-29 岁,男,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定,花过，200 元以下,每月 50 到 200 元,代言品牌|漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:23.0|相关产品的丰富度:24.0|付费价格:29.0|其他:24.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:35:37,2022-02-04 10:38:10,02分33秒,湖北省,武汉市,171.112.247.59,Chrome 95.0.4638.74,Android Linux 12
166,E_307_603bfba533f0c476a88efbb7_2IDNxETM,19-29 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),学生,洛天依,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 到 200 元,直播打赏,直播打赏|线上/线下 演唱会,虚拟偶像种类:42.0|相关产品的丰富度:30.0|付费价格:28.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:35:06,2022-02-04 10:38:13,03分07秒,,,39.144.64.36,Chrome 83.0.4103.106,Android Linux 11
167,E_307_5f74a3b87654804525209933_2IDNxETM,12-18 岁,女,高中,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,洛天依,娱乐消费，能够带来快乐,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|游戏,不太清楚,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:35:01,2022-02-04 10:38:13,03分12秒,甘肃省,庆阳市,42.92.71.221,Chrome 70.0.3538.110,Android Linux 8.0.0
168,E_307_5235a13d611ebf56ccb9609c_2IDNxETM,46 岁及以上,男,本科,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 元以下,直播打赏|代言品牌,直播打赏|代言品牌,虚拟偶像种类:34.0|相关产品的丰富度:26.0|付费价格:19.0|其他:21.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:33:49,2022-02-04 10:38:18,04分29秒,广东省,广州市,118.196.154.157,Chrome 86.0.4240.198,Windows 7
169,E_307_61c04ef233f0c464c875a947_2IDNxETM,46 岁及以上,男,初中及以下,暂无收入,华中地区(包括湖北、湖南、河南),无业人员,aespa,审美需要,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏,游戏,虚拟偶像种类:82.0|相关产品的丰富度:18.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:35:53,2022-02-04 10:38:25,02分32秒,山东省,潍坊市,223.78.228.84,Chrome 88.0.4324.93,Android Linux 10
170,E_307_60ed022f33f0c4081b3a8e3f_2IDNxETM,30-45 岁,女,大专,2000-4999 元,华中地区(包括湖北、湖南、河南),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:36:01,2022-02-04 10:38:31,02分30秒,河南省,焦作市,120.216.235.211,Chrome 88.0.4324.93,Android Linux 10
171,E_307_619ca1551b242552784464be_2IDNxETM,12-18 岁,男,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),政府/事业单位人员,洛天依|柳叶熙,娱乐消费，能够带来快乐|审美需要,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:70.0|相关产品的丰富度:30.0|付费价格:0.0|其他:0.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:08,2022-02-04 10:38:31,06分23秒,江西省,上饶市,117.136.60.252,Chrome 77.0.3865.92,Android Linux 10
172,E_307_604ff79d1b2425790c0a8cfc_2IDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200 元以下,每月 50 元以下,代言品牌|漫画等周边|游戏,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:20.0|相关产品的丰富度:35.0|付费价格:21.0|其他:24.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:35:55,2022-02-04 10:38:36,02分41秒,江苏省,连云港市,117.136.66.210,Chrome 68.0.3440.91,Android Linux 9
173,E_307_6011859a33f0c4c008a64a95_2IDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:32:42,2022-02-04 10:38:47,06分05秒,江西省,吉安市,115.148.46.114,Chrome 70.0.3538.110,Android Linux 8.0.0
174,E_307_56655847c1a87d4470a9f5f6_2IDNxETM,19-29 岁,男,硕士研究生,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:30.0|相关产品的丰富度:38.0|付费价格:31.0|其他:1.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:35:48,2022-02-04 10:38:49,03分01秒,浙江省,杭州市,125.210.235.37,Chrome 70.0.3538.110,Android Linux 8.0.0
175,E_307_5f190fe6c461310b2488a58d_2IDNxETM,19-29 岁,男,本科,2000 元以下,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,初音未来|洛天依|我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:36:27,2022-02-04 10:38:58,02分31秒,新疆维吾尔自治区,乌鲁木齐市,124.119.53.197,Chrome 83.0.4103.106,Android Linux 11
176,E_307_61e403821b2425f187728e8e_2IDNxETM,19-29 岁,女,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,A-SOUL（嘉然今天吃什么）|柳叶熙,不会塌房，追星更加稳定|精神寄托|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:12.0|相关产品的丰富度:14.0|付费价格:12.0|其他:62.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:36:17,2022-02-04 10:39:01,02分44秒,黑龙江省,绥化市,60.15.137.198,Chrome 83.0.4103.106,Android Linux 10
177,E_307_607538911b242520c028a3b7_2IDNxETM,19-29 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|审美需要,花过，501 元到 1000 元,每月 501 到 1000 元,漫画等周边|线上/线下 演唱会,代言品牌|线上/线下 演唱会,虚拟偶像种类:35.0|相关产品的丰富度:0.0|付费价格:39.0|其他:26.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:36:44,2022-02-04 10:39:22,02分38秒,江西省,上饶市,182.105.21.84,Chrome 83.0.4103.106,Android Linux 11
178,E_307_548fae64c1a87d6c150313fc_2IDNxETM,12-18 岁,男,高中,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,代言品牌|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:37:07,2022-02-04 10:39:38,02分31秒,山东省,淄博市,111.16.115.234,Chrome 83.0.4103.106,Android Linux 10
179,E_307_61efe6e433f0c4d24313e67d_2IDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:37:23,2022-02-04 10:39:52,02分29秒,,,39.144.103.224,Chrome 88.0.4324.93,Android Linux 10
180,E_307_60ee657833f0c4081a3a4469_2IDNxETM,30-45 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:22.0|相关产品的丰富度:18.0|付费价格:34.0|其他:26.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:37:11,2022-02-04 10:39:55,02分44秒,江苏省,南京市,49.90.189.248,Chrome 83.0.4103.106,Android Linux 10
181,E_307_5b5ee0b6c1a87d1740d4671b_2IDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|柳叶熙,娱乐消费，能够带来快乐,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,直播打赏|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:36:52,2022-02-04 10:40:08,03分16秒,广东省,广州市,113.119.11.155,Chrome 86.0.4240.198,Windows 7
